Time,Lunar Garden/Tower of Friendship,Rockery waterfall,Guo Pu Dun,Mi Fu stone,Lotus Square,Nona Tower/Lama Temple,Sakura King,Lawn,Huanliu Pavilion,Lianhu Academy,Mengchun Public House,Wind Lotus Garden,Guo Pu Memorial Museum,Close to Mother Tongue School,Gunley Art Appreciation Center,Total
210,0.369395873,0.061602546,1.242137787,0.078770596,0.256077025,2.441904392,0.301650216,0.368125081,0.505355199,0.717923153,0.215713326,0.250685443,0.45437865,0.13416967,0.478686003,2.441904392
220,0.379361338,0.066182455,1.331742976,0.084496764,0.277289853,2.636381663,0.324755967,0.394278353,0.544355847,0.768016576,0.23172561,0.269183523,0.485556503,0.143540358,0.514053841,2.636381663
230,0.383032825,0.070623578,1.425345424,0.090580817,0.299135226,2.813937307,0.345726428,0.419649387,0.578291476,0.80032496,0.245731176,0.28724395,0.519975298,0.153705172,0.548346306,2.813937307
240,0.384381534,0.074388124,1.509620937,0.097022756,0.320555891,2.971656593,0.36458072,0.442777026,0.603278904,0.819322114,0.256527651,0.302824351,0.55452373,0.163790573,0.577500875,2.971656593
250,0.384876061,0.077354656,1.578573629,0.103464695,0.340869603,3.111158816,0.381337967,0.462495294,0.619824633,0.829966691,0.264189666,0.315195306,0.585766403,0.172942877,0.600203204,3.111158816
260,0.330290791,0.079245603,1.629205558,0.109190863,0.359443818,3.212688582,0.393047005,0.475483375,0.624720818,0.805503999,0.266378813,0.323248098,0.611693932,0.180566487,0.61442203,3.212688582
270,0.302050312,0.078829248,1.64186354,0.113843374,0.37411433,3.240783342,0.395290653,0.476708387,0.604629575,0.746969845,0.25887435,0.322197734,0.628611644,0.185450363,0.61059848,3.240783342
280,0.291620292,0.07657399,1.611551004,0.116706458,0.383760632,3.232443975,0.393282843,0.469845367,0.572382286,0.698242807,0.24701647,0.313678114,0.631398854,0.186165076,0.592317132,3.232443975
290,0.287783963,0.073642154,1.557254923,0.117422229,0.389019787,3.207425875,0.388846539,0.457787115,0.541823337,0.666353154,0.235324435,0.302094932,0.620963023,0.18316725,0.568897887,3.207425875
300,0.28637531,0.070831756,1.497962269,0.116348572,0.390777357,3.170586925,0.382478913,0.443500226,0.518355415,0.647422116,0.225788378,0.29068681,0.602748934,0.177965724,0.546554017,3.170586925
310,0.285850812,0.068489757,1.444998607,0.114201259,0.389756249,3.123546419,0.374836487,0.429479003,0.502316188,0.636799577,0.218798033,0.280941765,0.582331005,0.172049485,0.528033696,3.123546419
320,0.237716869,0.06640798,1.400362564,0.111338176,0.386381173,3.051325883,0.364306638,0.414749339,0.487289964,0.604491193,0.211417954,0.272276261,0.563079815,0.166411189,0.511783609,3.051325883
330,0.212870642,0.06333736,1.345400273,0.108117206,0.379585839,2.927611782,0.347899962,0.395429569,0.458081687,0.547433617,0.198813774,0.25996366,0.544023081,0.160673628,0.487886421,2.927611782
340,0.203691925,0.059468725,1.271784113,0.104896237,0.369171447,2.789081136,0.330683787,0.374264901,0.423133054,0.501703809,0.184650656,0.244441612,0.520558667,0.153625759,0.45789545,2.789081136
350,0.200312658,0.055617438,1.191838963,0.100601611,0.356335314,2.656218021,0.314366347,0.352878846,0.392574105,0.472172271,0.17209623,0.228802858,0.492621755,0.145366848,0.427904479,2.656218021
360,0.199076341,0.052303944,1.118222803,0.095591214,0.342338009,2.533718391,0.29917073,0.332909672,0.369781519,0.454783925,0.162352867,0.215089771,0.463388466,0.136810139,0.402095516,2.533718391
370,0.198619279,0.049667027,1.056931521,0.090580817,0.328069615,2.421744175,0.285262662,0.31559715,0.354586461,0.445020887,0.155412276,0.204148478,0.436229379,0.128888731,0.381902393,2.421744175
380,0.256231653,0.048036302,1.012628583,0.085928306,0.314384065,2.342884532,0.275918377,0.3045868,0.351040948,0.471643348,0.153869922,0.197175227,0.413477973,0.122218072,0.369595341,2.342884532
390,0.286045626,0.048730227,1.005300278,0.081991565,0.303748282,2.335678671,0.275912003,0.305250963,0.372989364,0.533835886,0.162269945,0.199334309,0.399153013,0.118088616,0.375569638,2.335678671
400,0.297045101,0.051280404,1.0416087,0.079844253,0.297495129,2.362073172,0.279844762,0.313885085,0.407600329,0.585472001,0.17508143,0.209079354,0.3987641,0.118068763,0.396121219,2.362073172
410,0.301098723,0.054472461,1.101900668,0.079486367,0.295095978,2.401988782,0.285887314,0.327581607,0.440185285,0.619256962,0.187594396,0.221771254,0.411533408,0.121761449,0.421571724,2.401988782
420,0.302589796,0.057508385,1.166189893,0.081275795,0.295737559,2.45113437,0.293606228,0.343300136,0.465172714,0.639267885,0.197768954,0.234142209,0.431951337,0.127618129,0.445707884,2.45113437
430,0.303136772,0.060041214,1.223483918,0.083780993,0.298764736,2.508295467,0.3023896,0.358516853,0.482056111,0.650529539,0.205207079,0.244616673,0.454313831,0.13411011,0.46554255,2.508295467
440,0.379900822,0.062417909,1.272450323,0.087001962,0.3039516,2.599947537,0.315341569,0.375696542,0.500796682,0.698970077,0.214436324,0.254478425,0.47525031,0.140244734,0.484182357,2.599947537
450,0.419552881,0.066616158,1.34306854,0.090580817,0.313399103,2.771106967,0.337714309,0.401392279,0.543849345,0.788424191,0.232886521,0.271225897,0.497418348,0.1469551,0.516921504,2.771106967
460,0.434193872,0.072306348,1.448662759,0.094875443,0.327857261,2.965908098,0.36174429,0.431264864,0.597876216,0.860578114,0.254454595,0.293896256,0.528272107,0.156266228,0.561131301,2.965908098
470,0.439573725,0.078100626,1.567914276,0.100601611,0.34577634,3.153908191,0.384875537,0.462554331,0.645656231,0.907277613,0.273850106,0.317412742,0.568135683,0.167999442,0.606416472,3.153908191
480,0.441559325,0.083166282,1.679837487,0.107759321,0.365462026,3.328872964,0.406808472,0.492471194,0.681280199,0.934803651,0.289008291,0.338303317,0.611369838,0.180606193,0.645966318,3.328872964
490,0.442286129,0.087208399,1.773439934,0.11491703,0.385703447,3.490802416,0.42721802,0.518742539,0.705085789,0.950252613,0.299862812,0.355138319,0.652270515,0.192537938,0.677152148,3.490802416
500,0.403188539,0.090036145,1.844058151,0.12207474,0.405506605,3.623746496,0.443522713,0.538180383,0.716228832,0.936919344,0.305062036,0.367013269,0.687078222,0.202762312,0.698420646,3.623746496
510,0.382935418,0.090782115,1.879034154,0.127800908,0.422865431,3.700015267,0.452165857,0.546991615,0.706267627,0.897117883,0.30201879,0.370718721,0.712357563,0.210147684,0.703678027,3.700015267
520,0.375457573,0.08989736,1.875370002,0.132453419,0.436569054,3.743979113,0.456665901,0.547965721,0.685669882,0.863288844,0.294978692,0.367713512,0.724349045,0.213661692,0.696030927,3.743979113
530,0.372707704,0.088283983,1.849054723,0.134958618,0.446748501,3.76859239,0.458272149,0.543493688,0.665240972,0.840963883,0.28747423,0.361528034,0.724154589,0.213681546,0.682887473,3.76859239
