t,stock,v
402,214,0.35
403,215,0.34
404,218,0.34
405,217,0.35
406,218,0.35
407,218,0.36
408,218,0.36
409,218,0.39
410,218,0.39
411,217,0.36
412,216,0.36
413,215,0.34
414,214,0.34
415,214,0.34
416,213,0.34
417,214,0.36
418,216,0.36
419,217,0.4
420,219,0.4
421,220,0.38
422,219,0.38
423,219,0.33
424,219,0.33
425,219,0.37
426,218,0.37
427,218,0.36
428,218,0.36
429,221,0.36
430,223,0.36
431,223,0.34
432,224,0.34
433,224,0.3
434,224,0.3
435,224,0.34
436,224,0.34
437,224,0.31
438,223,0.31
439,222,0.3
440,222,0.3
441,222,0.31
442,229,0.31
443,231,0.34
444,233,0.34
445,233,0.33
446,233,0.33
447,232,0.3
448,232,0.3
449,230,0.29
450,230,0.29
451,231,0.32
452,232,0.32
453,232,0.32
454,232,0.32
455,232,0.32
456,232,0.32
457,230,0.32
458,230,0.32
459,230,0.33
460,231,0.33
461,232,0.33
462,231,0.33
463,231,0.31
464,233,0.31
465,232,0.33
466,231,0.33
467,230,0.29
468,229,0.29
469,229,0.29
470,229,0.29
471,228,0.29
472,228,0.29
473,228,0.29
474,230,0.29
475,229,0.3
476,229,0.3
477,228,0.28
478,227,0.28
479,227,0.29
480,227,0.29
481,228,0.3
482,229,0.3
483,229,0.27
484,230,0.27
485,230,0.25
486,229,0.25
487,229,0.24
488,229,0.24
489,228,0.24
490,227,0.24
491,229,0.26
492,228,0.26
493,227,0.25
494,227,0.25
495,227,0.22
496,227,0.22
497,227,0.22
498,226,0.22
499,226,0.23
500,226,0.23
501,228,0.25
502,227,0.25
503,227,0.24
504,227,0.24
505,227,0.25
506,226,0.25
507,227,0.29
508,228,0.29
509,231,0.31
510,233,0.31
511,234,0.29
512,238,0.29
513,238,0.29
514,238,0.29
515,238,0.29
516,239,0.29
517,237,0.32
518,237,0.32
519,235,0.3
520,235,0.3
521,238,0.31
522,238,0.31
523,241,0.28
524,241,0.28
525,241,0.28
526,240,0.28
527,239,0.29
528,238,0.29
529,238,0.26
530,241,0.26
531,241,0.29
532,241,0.29
533,240,0.28
534,239,0.28
535,239,0.27
536,240,0.27
537,241,0.28
538,242,0.28
539,242,0.28
540,242,0.28
541,241,0.28
542,240,0.28
543,240,0.29
544,242,0.29
545,242,0.31
546,244,0.31
547,244,0.32
548,244,0.32
549,241,0.28
550,241,0.28
551,241,0.31
552,240,0.31
553,239,0.31
554,238,0.31
555,239,0.27
556,238,0.27
557,236,0.26
558,236,0.26
559,237,0.28
560,237,0.28
561,237,0.27
562,242,0.27
563,241,0.29
564,242,0.29
565,242,0.3
566,239,0.3
567,239,0.3
568,236,0.3
569,236,0.29
570,239,0.29
571,238,0.3
572,238,0.3
573,236,0.24
574,236,0.24
575,235,0.23
576,235,0.23
577,234,0.23
578,233,0.23
579,236,0.23
580,234,0.23
581,234,0.23
582,233,0.23
583,235,0.24
584,234,0.24
585,233,0.24
586,233,0.24
587,233,0.23
588,233,0.23
589,233,0.23
590,233,0.23
591,232,0.21
592,232,0.21
593,232,0.23
594,232,0.23
595,232,0.22
596,232,0.22
597,231,0.24
598,229,0.24
599,233,0.23
600,234,0.23
601,237,0.26
602,236,0.26
603,235,0.26
604,235,0.26
605,237,0.26
606,236,0.26
607,238,0.26
608,238,0.26
609,238,0.26
610,238,0.26
611,239,0.28
612,240,0.28
613,239,0.28
614,240,0.28
615,242,0.3
616,243,0.3
617,244,0.29
618,242,0.29
619,242,0.29
620,244,0.29
621,244,0.29
622,247,0.29
623,246,0.28
624,246,0.28
625,245,0.26
626,245,0.26
627,244,0.29
628,243,0.29
629,244,0.28
630,244,0.28
631,244,0.28
632,245,0.28
633,247,0.29
634,248,0.29
635,247,0.28
636,247,0.28
637,247,0.27
638,246,0.27
639,245,0.28
640,248,0.28
641,249,0.28
642,248,0.28
643,248,0.26
644,248,0.26
645,248,0.27
646,247,0.27
647,247,0.29
648,247,0.29
649,247,0.28
650,248,0.28
651,248,0.28
652,249,0.28
653,251,0.26
654,252,0.26
655,251,0.28
656,251,0.28
657,250,0.26
658,250,0.26
659,250,0.26
660,251,0.26
661,255,0.28
662,258,0.28
663,257,0.29
664,259,0.29
665,259,0.24
666,258,0.24
667,257,0.25
668,257,0.25
669,256,0.26
670,256,0.26
671,256,0.25
672,255,0.25
673,254,0.24
674,254,0.24
675,255,0.27
676,255,0.27
677,254,0.26
678,252,0.26
679,251,0.26
680,251,0.26
681,250,0.25
682,250,0.25
683,249,0.26
684,249,0.26
685,249,0.25
686,248,0.25
687,248,0.25
688,248,0.25
689,248,0.25
690,247,0.25
691,247,0.24
692,249,0.24
693,250,0.27
694,251,0.27
695,251,0.24
696,251,0.24
697,251,0.25
698,251,0.25
699,251,0.22
700,254,0.22
701,255,0.24
702,257,0.24
703,256,0.24
704,258,0.24
705,259,0.24
706,259,0.24
707,259,0.23
708,258,0.23
709,258,0.26
710,257,0.26
711,256,0.26
712,258,0.26
713,257,0.25
714,257,0.25
715,255,0.24
716,255,0.24
717,257,0.27
718,257,0.27
719,257,0.26
720,257,0.26
721,256,0.26
722,258,0.26
723,258,0.26
724,257,0.26
